Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude
ES220,15-07-2015,18235.0,10836,SA,D,42.4273,-1.73358
ES230,15-07-2015,633.0,9948,SA,D,42.27149,-1.97541
ES241,15-07-2015,51179.0,12596,SA,D,41.86705,-0.05219
ES242,15-07-2015,3474.0,10936,SA,D,40.73827,-1.00363
ES243,15-07-2015,23031.0,10303,SA,D,41.86077,-1.07946
ES300,15-07-2015,6161.0,12515,SA,D,40.19028,-3.57747
ES411,15-07-2015,1771.0,12250,SA,D,40.97913,-4.85813
ES412,15-07-2015,1046.0,10500,SA,D,41.84807,-3.87632
ES413,15-07-2015,64546.0,11900,SA,D,42.4113,-5.68645
ES414,15-07-2015,4045.0,10000,SA,D,42.41262,-4.67343
ES415,15-07-2015,18230.0,12250,SA,D,40.99443,-5.5754
ES416,15-07-2015,103.0,10000,SA,D,41.2211,-4.41308
ES417,15-07-2015,198.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2015,9079.0,12000,SA,D,41.65781,-5.10557
ES419,15-07-2015,18510.0,13000,SA,D,41.82753,-5.74309
ES421,15-07-2015,11000.0,13300,SA,D,39.0489,-1.99314
ES422,15-07-2015,5854.0,11000,SA,D,39.26904,-4.16304
ES423,15-07-2015,1132.0,12064,SA,D,39.6437,-2.38957
ES424,15-07-2015,3181.0,11894,SA,D,40.92142,-3.0692
ES425,15-07-2015,8263.0,9609,SA,D,39.97782,-4.49185
ES431,15-07-2015,35347.0,12628,SA,D,39.02606,-6.19655
ES432,15-07-2015,20508.0,13048,SA,D,39.80093,-6.27123
ES511,15-07-2015,90.0,5344,SA,D,41.90971,2.24778
ES512,15-07-2015,7725.0,10962,SA,D,42.16169,2.87706
ES513,15-07-2015,33286.0,8294,SA,D,41.74448,0.71416
ES514,15-07-2015,122.0,9000,SA,D,40.86232,0.57098
ES521,15-07-2015,384.0,10500,SA,D,38.2,-0.88411
ES522,15-07-2015,94.0,4309,SA,D,40.36508,0.07989
ES523,15-07-2015,312.0,10870,SA,D,39.3862,-0.58762
ES612,15-07-2015,3238.0,11365,SA,D,36.59786,-5.94015
ES613,15-07-2015,5403.0,10971,SA,D,37.81599,-4.99439
ES614,15-07-2015,2946.0,10899,SA,D,37.24434,-3.75542
ES615,15-07-2015,231.0,10500,SA,D,37.75169,-7.11385
ES616,15-07-2015,1412.0,12054,SA,D,38.03548,-3.86859
ES617,15-07-2015,346.0,6427,SA,D,37.10579,-4.67189
ES618,15-07-2015,15876.0,13374,SA,D,37.50512,-5.81387
ES620,15-07-2015,350.0,9615,SA,D,38.1893,-1.43707
ES704,15-07-2015,139.149,2543,SA,D,,
ES705,15-07-2015,178.107,2543,SA,D,28.11818,-15.55454
ES706,15-07-2015,4.365,2351,SA,D,,
ES707,15-07-2015,26.086,2351,SA,D,28.7,-18.0
ES708,15-07-2015,101.744,2543,SA,D,,
ES709,15-07-2015,434.505,2351,SA,D,28.47143,-16.54286
ES111,15-07-2014,9232.0,8173,SA,D,43.08895,-8.59496
ES112,15-07-2014,2271.0,7516,SA,D,43.11323,-7.572
ES113,15-07-2014,2013.0,7748,SA,D,42.19387,-7.78684
ES114,15-07-2014,6113.0,8394,SA,D,42.72535,-8.29535
ES120,15-07-2014,405.0,2100,SA,D,43.55671,-6.47065
ES130,15-07-2014,133.0,2600,SA,D,43.42863,-3.89545
ES211,15-07-2014,13.0,3230,SA,D,42.9655,-2.75258
ES212,15-07-2014,228.0,3106,SA,D,43.20135,-2.13431
ES213,15-07-2014,139.0,3168,SA,D,43.30779,-2.99522
ES220,15-07-2014,20995.0,11379,SA,D,42.4273,-1.73358
ES230,15-07-2014,896.0,11302,SA,D,42.27149,-1.97541
ES241,15-07-2014,52431.0,12527,SA,D,41.86705,-0.05219
ES242,15-07-2014,4067.0,11531,SA,D,40.73827,-1.00363
ES243,15-07-2014,22960.0,11632,SA,D,41.86077,-1.07946
ES300,15-07-2014,7269.0,12941,SA,D,40.19028,-3.57747
ES411,15-07-2014,1591.0,13910,SA,D,40.97913,-4.85813
ES412,15-07-2014,950.0,10500,SA,D,41.84807,-3.87632
ES413,15-07-2014,66508.0,9900,SA,D,42.4113,-5.68645
ES414,15-07-2014,4616.0,10000,SA,D,42.41262,-4.67343
ES415,15-07-2014,18300.0,12250,SA,D,40.99443,-5.5754
ES416,15-07-2014,111.0,9000,SA,D,41.2211,-4.41308
ES417,15-07-2014,354.0,11500,SA,D,41.58075,-2.86887
ES418,15-07-2014,9224.0,11000,SA,D,41.65781,-5.10557
ES419,15-07-2014,19698.0,11700,SA,D,41.82753,-5.74309
ES421,15-07-2014,13800.0,13500,SA,D,39.0489,-1.99314
ES422,15-07-2014,7042.0,11041,SA,D,39.26904,-4.16304
ES423,15-07-2014,1083.0,11995,SA,D,39.6437,-2.38957
ES424,15-07-2014,3507.0,11949,SA,D,40.92142,-3.0692
ES425,15-07-2014,9737.0,12393,SA,D,39.97782,-4.49185
ES431,15-07-2014,41021.0,12336,SA,D,39.02606,-6.19655
ES432,15-07-2014,21848.0,12510,SA,D,39.80093,-6.27123
ES511,15-07-2014,153.0,8057,SA,D,41.90971,2.24778
ES512,15-07-2014,7995.0,12157,SA,D,42.16169,2.87706
ES513,15-07-2014,29934.0,10191,SA,D,41.74448,0.71416
ES514,15-07-2014,65.0,9000,SA,D,40.86232,0.57098
ES521,15-07-2014,410.0,12000,SA,D,38.2,-0.88411
ES522,15-07-2014,86.0,3767,SA,D,40.36508,0.07989
ES523,15-07-2014,368.0,11412,SA,D,39.3862,-0.58762
ES611,15-07-2014,9.0,3222,SA,D,37.45555,-2.25556
ES612,15-07-2014,3343.0,12000,SA,D,36.59786,-5.94015
ES613,15-07-2014,7092.0,12476,SA,D,37.81599,-4.99439
ES614,15-07-2014,3218.0,8586,SA,D,37.24434,-3.75542
ES615,15-07-2014,92.0,10500,SA,D,37.75169,-7.11385
ES616,15-07-2014,1807.0,11083,SA,D,38.03548,-3.86859
ES617,15-07-2014,447.0,6307,SA,D,37.10579,-4.67189
ES618,15-07-2014,16443.0,13156,SA,D,37.50512,-5.81387
ES620,15-07-2014,474.0,10172,SA,D,38.1893,-1.43707
ES704,15-07-2014,137.157,2576,SA,D,,
ES705,15-07-2014,175.556,2576,SA,D,28.11818,-15.55454
ES706,15-07-2014,4.438,2331,SA,D,,
ES707,15-07-2014,26.527,2331,SA,D,28.7,-18.0
ES708,15-07-2014,100.287,2576,SA,D,,
ES709,15-07-2014,441.854,2331,SA,D,28.47143,-16.54286
ES111,15-07-2013,9186.0,7740,SA,D,43.08895,-8.59496
ES112,15-07-2013,1962.0,7419,SA,D,43.11323,-7.572
ES113,15-07-2013,1952.0,7379,SA,D,42.19387,-7.78684
ES114,15-07-2013,6161.0,6953,SA,D,42.72535,-8.29535
ES120,15-07-2013,300.0,2500,SA,D,43.55671,-6.47065
ES130,15-07-2013,546.0,2600,SA,D,43.42863,-3.89545
ES211,15-07-2013,13.0,3230,SA,D,42.9655,-2.75258
ES212,15-07-2013,202.0,2998,SA,D,43.20135,-2.13431
ES213,15-07-2013,147.0,3041,SA,D,43.30779,-2.99522
ES220,15-07-2013,22332.0,10590,SA,D,42.4273,-1.73358
ES230,15-07-2013,940.0,9110,SA,D,42.27149,-1.97541
ES241,15-07-2013,48840.0,12785,SA,D,41.86705,-0.05219
ES242,15-07-2013,3414.0,10703,SA,D,40.73827,-1.00363
ES243,15-07-2013,24516.0,11629,SA,D,41.86077,-1.07946
ES300,15-07-2013,7251.0,13623,SA,D,40.19028,-3.57747
ES411,15-07-2013,1511.0,13700,SA,D,40.97913,-4.85813
ES412,15-07-2013,850.0,10500,SA,D,41.84807,-3.87632
ES413,15-07-2013,65263.0,10100,SA,D,42.4113,-5.68645
ES414,15-07-2013,4306.0,10000,SA,D,42.41262,-4.67343
ES415,15-07-2013,18455.0,10994,SA,D,40.99443,-5.5754
ES416,15-07-2013,99.0,8000,SA,D,41.2211,-4.41308
ES417,15-07-2013,335.0,11000,SA,D,41.58075,-2.86887
ES418,15-07-2013,10086.0,11000,SA,D,41.65781,-5.10557
ES419,15-07-2013,21060.0,11527,SA,D,41.82753,-5.74309
ES421,15-07-2013,15900.0,13800,SA,D,39.0489,-1.99314
ES422,15-07-2013,7142.0,9999,SA,D,39.26904,-4.16304
ES423,15-07-2013,1247.0,11324,SA,D,39.6437,-2.38957
ES424,15-07-2013,3619.0,11935,SA,D,40.92142,-3.0692
ES425,15-07-2013,11140.0,12359,SA,D,39.97782,-4.49185
ES431,15-07-2013,47113.0,11403,SA,D,39.02606,-6.19655
ES432,15-07-2013,22023.0,11628,SA,D,39.80093,-6.27123
ES511,15-07-2013,303.0,9832,SA,D,41.90971,2.24778
ES512,15-07-2013,7839.0,12909,SA,D,42.16169,2.87706
ES513,15-07-2013,30746.0,10832,SA,D,41.74448,0.71416
ES514,15-07-2013,67.0,8933,SA,D,40.86232,0.57098
ES521,15-07-2013,292.0,12000,SA,D,38.2,-0.88411
ES522,15-07-2013,176.0,4693,SA,D,40.36508,0.07989
ES523,15-07-2013,206.0,14600,SA,D,39.3862,-0.58762
ES611,15-07-2013,68.0,1118,SA,D,37.45555,-2.25556
ES612,15-07-2013,4156.0,8513,SA,D,36.59786,-5.94015
ES613,15-07-2013,8859.0,12469,SA,D,37.81599,-4.99439
ES614,15-07-2013,3330.0,12061,SA,D,37.24434,-3.75542
ES615,15-07-2013,186.0,8896,SA,D,37.75169,-7.11385
ES616,15-07-2013,2013.0,11635,SA,D,38.03548,-3.86859
ES617,15-07-2013,666.0,6580,SA,D,37.10579,-4.67189
ES618,15-07-2013,24363.0,8832,SA,D,37.50512,-5.81387
ES620,15-07-2013,137.0,10172,SA,D,38.1893,-1.43707
ES704,15-07-2013,88.67,2623,SA,D,,
ES705,15-07-2013,113.495,2623,SA,D,28.11818,-15.55454
ES706,15-07-2013,4.438,2331,SA,D,,
ES707,15-07-2013,26.527,2331,SA,D,28.7,-18.0
ES708,15-07-2013,64.834,2623,SA,D,,
ES709,15-07-2013,441.854,2331,SA,D,28.47143,-16.54286
ES111,15-07-2012,9262.0,7624,SA,D,43.08895,-8.59496
ES112,15-07-2012,1799.0,7575,SA,D,43.11323,-7.572
ES113,15-07-2012,2044.0,7454,SA,D,42.19387,-7.78684
ES114,15-07-2012,6007.0,7916,SA,D,42.72535,-8.29535
ES120,15-07-2012,333.0,2200,SA,D,43.55671,-6.47065
